show_id,genre_name
"s1","Documentaries"
"s2","International TV Shows"
"s2","TV Dramas"
"s2","TV Mysteries"
"s3","Crime TV Shows"
"s3","International TV Shows"
"s3","TV Action & Adventure"
"s4","Docuseries"
"s4","Reality TV"
"s5","International TV Shows"
"s5","Romantic TV Shows"
"s5","TV Comedies"
"s6","TV Dramas"
"s6","TV Horror"
"s6","TV Mysteries"
"s7","Children & Family Movies"
"s8","Dramas"
"s8","Independent Movies"
"s8","International Movies"
"s9","British TV Shows"
"s9","Reality TV"
"s10","Comedies"
"s10","Dramas"
"s11","Crime TV Shows"
"s11","Docuseries"
"s11","International TV Shows"
"s12","Crime TV Shows"
"s12","International TV Shows"
"s12","TV Action & Adventure"
"s13","Dramas"
"s13","International Movies"
"s14","Children & Family Movies"
"s14","Comedies"
"s15","British TV Shows"
"s15","Crime TV Shows"
"s15","Docuseries"
"s16","TV Comedies"
"s16","TV Dramas"
"s17","Documentaries"
"s17","International Movies"
"s18","Crime TV Shows"
"s18","Spanish-Language TV Shows"
"s18","TV Dramas"
"s19","Thrillers"
"s20","International TV Shows"
"s20","Spanish-Language TV Shows"
"s20","TV Action & Adventure"
"s21","Crime TV Shows"
"s21","Docuseries"
"s21","International TV Shows"
"s22","International TV Shows"
"s22","TV Action & Adventure"
"s22","TV Dramas"
"s23","Comedies"
"s23","International Movies"
"s24","Children & Family Movies"
"s25","Comedies"
"s25","International Movies"
"s25","Romantic Movies"
"s26","Docuseries"
"s26","International TV Shows"
"s26","Reality TV"
"s27","Comedies"
"s27","International Movies"
"s27","Music & Musicals"
"s28","Comedies"
"s29","Horror Movies"
"s29","Sci-Fi & Fantasy"
"s30","Thrillers"
"s31","Dramas"
"s31","Independent Movies"
"s31","International Movies"
"s32","TV Comedies"
"s33","British TV Shows"
"s33","International TV Shows"
"s33","TV Comedies"
"s34","International TV Shows"
"s34","TV Dramas"
"s34","TV Thrillers"
"s35","Kids' TV"
"s36","Dramas"
"s36","International Movies"
"s36","Thrillers"
"s37","Action & Adventure"
"s37","Dramas"
"s37","International Movies"
"s38","Kids' TV"
"s38","TV Comedies"
"s39","Action & Adventure"
"s39","Dramas"
"s40","Kids' TV"
"s41","Kids' TV"
"s41","TV Sci-Fi & Fantasy"
"s42","Action & Adventure"
"s42","Classic Movies"
"s42","Dramas"
"s43","Dramas"
"s43","Horror Movies"
"s43","Thrillers"
"s44","Action & Adventure"
"s44","Horror Movies"
"s44","Thrillers"
"s45","Action & Adventure"
"s45","Horror Movies"
"s45","Thrillers"
"s46","Documentaries"
"s47","Action & Adventure"
"s48","International TV Shows"
"s48","Romantic TV Shows"
"s48","TV Comedies"
"s49","Dramas"
"s49","Thrillers"
"s50","International TV Shows"
"s50","TV Dramas"
"s51","International TV Shows"
"s51","TV Dramas"
"s51","TV Sci-Fi & Fantasy"
"s52","Action & Adventure"
"s52","Anime Features"
"s52","International Movies"
"s53","Action & Adventure"
"s53","Anime Features"
"s53","International Movies"
"s54","Action & Adventure"
"s54","Anime Features"
"s54","International Movies"
"s55","Action & Adventure"
"s55","Anime Features"
"s55","International Movies"
"s56","Reality TV"
"s57","Action & Adventure"
"s57","Anime Features"
"s57","International Movies"
"s58","Action & Adventure"
"s58","Anime Features"
"s58","International Movies"
"s59","Action & Adventure"
"s59","Anime Features"
"s59","International Movies"
"s60","Action & Adventure"
"s60","Anime Features"
"s60","International Movies"
"s61","Action & Adventure"
"s61","Anime Features"
"s61","International Movies"
"s62","Action & Adventure"
"s62","Anime Features"
"s62","International Movies"
"s63","Action & Adventure"
"s63","Anime Features"
"s63","International Movies"
"s64","Action & Adventure"
"s64","Anime Features"
"s64","International Movies"
"s65","Children & Family Movies"
"s66","Kids' TV"
"s67","Docuseries"
"s67","International TV Shows"
"s68","Kids' TV"
"s68","TV Comedies"
"s69","Documentaries"
"s69","International Movies"
"s69","Sports Movies"
"s70","International TV Shows"
"s70","TV Dramas"
"s71","International TV Shows"
"s71","Reality TV"
"s71","Romantic TV Shows"
"s72","Children & Family Movies"
"s73","British TV Shows"
"s73","Docuseries"
"s73","International TV Shows"
"s74","Dramas"
"s74","International Movies"
"s75","Reality TV"
"s76","Children & Family Movies"
"s77","Anime Series"
"s77","International TV Shows"
"s78","Children & Family Movies"
"s78","Comedies"
"s79","Comedies"
"s79","Dramas"
"s79","International Movies"
"s80","Comedies"
