show_id,season_number
"s125","1"
"s125","2"
"s125","3"
"s126","1"
"s127","1"
"s128","1"
"s129","1"
"s130","1"
"s131","1"
"s132","1"
"s133","1"
"s134","1"
"s135","1"
"s136","1"
"s137","1"
"s138","1"
"s139","1"
"s140","1"
"s141","1"
"s142","1"
"s143","1"
"s144","1"
"s145","1"
"s146","1"
"s147","1"
"s148","1"
"s149","1"
"s150","1"
"s151","1"
"s152","1"
"s153","1"
"s154","1"
"s154","2"
"s155","1"
"s155","2"
"s155","3"
"s156","1"
"s157","1"
"s158","1"
"s159","1"
"s160","1"
"s161","1"
"s161","2"
"s161","3"
"s161","4"
"s162","1"
"s163","1"
"s164","1"
"s165","1"
"s166","1"
"s167","1"
"s168","1"
"s169","1"
"s170","1"
"s171","1"
"s172","1"
"s173","1"
"s174","1"
"s175","1"
"s176","1"
"s177","1"
"s178","1"
"s179","1"
"s180","1"
"s181","1"
"s182","1"
"s183","1"
"s184","1"
"s185","1"
"s186","1"
"s187","1"
"s188","1"
"s189","1"
"s190","1"
"s190","2"
"s191","1"
"s192","1"
"s193","1"
"s194","1"
"s195","1"
"s196","1"
"s197","1"
"s198","1"
"s199","1"
"s200","1"
"s201","1"
"s202","1"
"s203","1"
"s204","1"
"s205","1"
"s206","1"
"s207","1"
"s208","1"
"s209","1"
"s210","1"
"s211","1"
"s212","1"
"s213","1"
"s213","2"
"s214","1"
"s214","2"
"s214","3"
"s215","1"
"s216","1"
"s217","1"
"s218","1"
"s219","1"
"s220","1"
"s221","1"
"s221","2"
"s221","3"
"s221","4"
"s222","1"
"s223","1"
"s224","1"
"s225","1"
"s226","1"
"s227","1"
"s228","1"
"s229","1"
"s230","1"
"s231","1"
"s232","1"
"s233","1"
"s233","2"
"s233","3"
"s234","1"
"s235","1"
"s236","1"
"s237","1"
"s238","1"
"s239","1"
"s240","1"
"s241","1"
"s242","1"
"s242","2"
"s242","3"
"s243","1"
"s244","1"
"s245","1"
"s246","1"
"s247","1"
"s248","1"
"s249","1"
"s250","1"
"s251","1"
"s252","1"
"s253","1"
"s254","1"
"s255","1"
"s255","2"
"s255","3"
"s255","4"
"s255","5"
"s256","1"
"s257","1"
"s258","1"
"s259","1"
"s260","1"
"s261","1"
"s262","1"
"s263","1"
"s264","1"
"s264","2"
"s265","1"
"s266","1"
"s267","1"
"s268","1"
"s269","1"
"s270","1"
"s270","2"
"s271","1"
"s272","1"
"s273","1"
"s273","2"
"s273","3"
"s273","4"
"s273","5"
"s274","1"
"s275","1"
"s275","2"
"s275","3"
"s275","4"
"s275","5"
"s275","6"
"s275","7"
"s276","1"
"s277","1"
"s277","2"
"s278","1"
"s279","1"
"s280","1"
"s281","1"
"s282","1"
"s283","1"
"s284","1"
"s285","1"
"s286","1"
"s287","1"
"s287","2"
"s288","1"
"s289","1"
"s290","1"
"s291","1"
"s292","1"
"s293","1"
"s294","1"
"s295","1"
"s296","1"
"s297","1"
"s298","1"
"s299","1"
"s300","1"
"s301","1"
"s302","1"
"s303","1"
"s304","1"
"s305","1"
"s306","1"
"s307","1"
"s308","1"
"s309","1"
"s310","1"
"s310","2"
"s310","3"
"s311","1"
"s312","1"
"s312","2"
"s313","1"
"s314","1"
"s315","1"
"s316","1"
"s317","1"
"s318","1"
"s319","1"
"s320","1"
"s321","1"
"s322","1"
"s323","1"
"s324","1"
"s324","2"
"s324","3"
"s324","4"
"s324","5"
"s324","6"
"s324","7"
"s325","1"
"s325","2"
"s325","3"
"s326","1"
"s327","1"
"s328","1"
"s329","1"
"s330","1"
"s331","1"
"s332","1"
"s333","1"
"s334","1"
"s335","1"
"s336","1"
"s337","1"
"s337","2"
"s337","3"
"s337","4"
"s337","5"
"s338","1"
"s339","1"
"s339","2"
"s339","3"
"s339","4"
"s339","5"
"s339","6"
"s340","1"
"s341","1"
"s342","1"
"s343","1"
"s344","1"
"s345","1"
"s346","1"
"s347","1"
"s348","1"
"s349","1"
"s350","1"
"s351","1"
"s352","1"
"s353","1"
"s354","1"
"s355","1"
"s356","1"
"s357","1"
"s358","1"
"s359","1"
"s360","1"
"s361","1"
"s362","1"
"s362","2"
"s362","3"
"s363","1"
"s364","1"
"s365","1"
"s366","1"
"s367","1"
"s367","2"
"s367","3"
"s368","1"
"s369","1"
"s370","1"
"s371","1"
"s371","2"
"s372","1"
"s373","1"
"s374","1"
"s375","1"
"s376","1"
"s377","1"
"s378","1"
"s379","1"
"s380","1"
"s381","1"
"s381","2"
"s381","3"
"s381","4"
"s381","5"
"s381","6"
"s381","7"
"s382","1"
"s383","1"
"s383","2"
"s383","3"
"s384","1"
"s385","1"
"s386","1"
"s386","2"
"s386","3"
"s387","1"
"s387","2"
"s387","3"
"s387","4"
"s388","1"
"s389","1"
"s390","1"
"s391","1"
"s391","2"
"s391","3"
"s391","4"
"s391","5"
"s391","6"
"s391","7"
"s391","8"
"s391","9"
"s391","10"
"s392","1"
"s392","2"
"s392","3"
"s392","4"
"s393","1"
"s394","1"
"s395","1"
"s396","1"
"s397","1"
"s398","1"
"s399","1"
"s400","1"
"s401","1"
"s402","1"
"s402","2"
"s403","1"
"s404","1"
"s404","2"
"s405","1"
"s406","1"
"s407","1"
"s408","1"
"s409","1"
"s410","1"
"s411","1"
"s412","1"
"s413","1"
"s414","1"
"s415","1"
"s416","1"
"s417","1"
"s418","1"
"s419","1"
"s420","1"
"s421","1"
"s422","1"
"s423","1"
"s424","1"
"s425","1"
"s426","1"
"s426","2"
"s426","3"
"s426","4"
"s426","5"
"s427","1"
"s428","1"
"s429","1"
"s430","1"
"s431","1"
"s432","1"
"s433","1"
"s434","1"
"s435","1"
"s436","1"
"s437","1"
"s438","1"
"s439","1"
"s440","1"
"s441","1"
"s441","2"
"s441","3"
"s442","1"
"s443","1"
"s444","1"
"s445","1"
"s446","1"
"s447","1"
"s448","1"
"s449","1"
"s450","1"
"s451","1"
"s452","1"
"s453","1"
"s454","1"
"s454","2"
"s455","1"
"s456","1"
"s457","1"
"s458","1"
"s459","1"
"s460","1"
"s460","2"
"s461","1"
"s462","1"
"s463","1"
"s464","1"
"s465","1"
"s466","1"
"s467","1"
"s468","1"
"s469","1"
"s470","1"
"s471","1"
"s472","1"
"s473","1"
"s474","1"
"s475","1"
"s476","1"
"s477","1"
"s478","1"
"s478","2"
"s478","3"
"s478","4"
"s479","1"
"s479","2"
"s480","1"
"s481","1"
"s482","1"
"s483","1"
"s484","1"
"s485","1"
"s486","1"
"s487","1"
"s488","1"
"s489","1"
"s489","2"
"s489","3"
"s490","1"
"s491","1"
"s492","1"
"s493","1"
"s494","1"
"s495","1"
"s496","1"
"s497","1"
"s498","1"
"s499","1"
"s500","1"
"s500","2"
"s501","1"
"s502","1"
"s503","1"
"s504","1"
"s504","2"
"s505","1"
"s506","1"
"s507","1"
"s508","1"
"s509","1"
"s510","1"
"s510","2"
"s510","3"
"s511","1"
"s511","2"
"s512","1"
"s512","2"
"s513","1"
"s513","2"
"s513","3"
"s513","4"
"s514","1"
"s514","2"
"s514","3"
"s515","1"
"s515","2"
"s515","3"
"s515","4"
"s515","5"
"s516","1"
"s516","2"
"s517","1"
"s517","2"
"s518","1"
"s518","2"
"s519","1"
"s520","1"
"s520","2"
"s521","1"
"s521","2"
"s522","1"
"s522","2"
"s522","3"
"s522","4"
"s522","5"
"s523","1"
"s523","2"
"s523","3"
"s524","1"
"s524","2"
"s524","3"
"s525","1"
"s525","2"
"s526","1"
"s526","2"
"s526","3"
"s526","4"
"s526","5"
"s526","6"
"s526","7"
"s526","8"
"s527","1"
"s527","2"
"s527","3"
"s527","4"
"s527","5"
"s527","6"
"s527","7"
"s528","1"
"s528","2"
"s529","1"
"s530","1"
"s531","1"
"s531","2"
"s532","1"
"s533","1"
"s533","2"
"s533","3"
"s534","1"
"s534","2"
"s534","3"
"s535","1"
"s536","1"
"s536","2"
"s537","1"
"s537","2"
"s537","3"
"s538","1"
"s538","2"
"s538","3"
"s538","4"
"s538","5"
"s538","6"
"s539","1"
"s539","2"
"s540","1"
"s540","2"
"s541","1"
"s541","2"
"s541","3"
"s541","4"
"s542","1"
"s543","1"
"s544","1"
"s544","2"
"s545","1"
"s545","2"
"s545","3"
"s545","4"
"s545","5"
"s546","1"
"s546","2"
"s546","3"
"s547","1"
"s548","1"
"s549","1"
"s549","2"
"s549","3"
"s549","4"
"s549","5"
"s549","6"
"s549","7"
"s549","8"
"s549","9"
"s549","10"
"s549","11"
"s549","12"
"s549","13"
"s549","14"
"s549","15"
"s549","16"
"s549","17"
"s550","1"
"s551","1"
"s552","1"
"s553","1"
"s554","1"
"s554","2"
"s555","1"
"s556","1"
"s557","1"
"s558","1"
"s559","1"
"s560","1"
"s561","1"
"s562","1"
"s563","1"
"s564","1"
"s565","1"
"s566","1"
"s567","1"
"s568","1"
"s569","1"
"s570","1"
"s571","1"
"s572","1"
"s573","1"
"s574","1"
"s575","1"
"s576","1"
"s577","1"
"s578","1"
"s579","1"
"s580","1"
"s581","1"
"s582","1"
"s583","1"
"s584","1"
"s585","1"
"s586","1"
"s587","1"
"s588","1"
"s589","1"
"s590","1"
"s591","1"
"s591","2"
"s591","3"
"s592","1"
"s593","1"
"s594","1"
"s595","1"
"s596","1"
"s597","1"
"s598","1"
"s599","1"
"s600","1"
"s601","1"
"s602","1"
"s603","1"
"s604","1"
"s605","1"
"s606","1"
"s607","1"
"s608","1"
"s609","1"
"s610","1"
"s611","1"
"s612","1"
"s613","1"
"s614","1"
"s615","1"
"s616","1"
"s617","1"
"s618","1"
"s619","1"
"s620","1"
"s621","1"
"s622","1"
"s623","1"
"s624","1"
"s625","1"
"s626","1"
"s627","1"
"s628","1"
"s629","1"
"s629","2"
"s629","3"
"s629","4"
"s630","1"
"s631","1"
"s632","1"
"s632","2"
"s632","3"
"s632","4"
"s632","5"
"s633","1"
"s634","1"
"s635","1"
"s636","1"
"s637","1"
"s638","1"
"s639","1"
"s640","1"
"s641","1"
"s642","1"
"s643","1"
"s643","2"
"s644","1"
"s645","1"
"s646","1"
"s647","1"
"s648","1"
"s649","1"
"s649","2"
"s650","1"
"s651","1"
"s652","1"
"s653","1"
"s654","1"
"s655","1"
"s656","1"
"s657","1"
"s658","1"
"s658","2"
"s659","1"
"s660","1"
"s661","1"
"s661","2"
"s661","3"
"s661","4"
"s662","1"
"s662","2"
"s662","3"
"s662","4"
"s663","1"
"s664","1"
"s665","1"
"s665","2"
"s666","1"
"s666","2"
"s667","1"
"s668","1"
"s668","2"
"s668","3"
"s668","4"
"s668","5"
"s668","6"
"s669","1"
"s669","2"
"s669","3"
"s670","1"
"s670","2"
"s670","3"
"s670","4"
"s670","5"
"s671","1"
"s672","1"
"s673","1"
"s674","1"
"s675","1"
"s675","2"
"s676","1"
"s677","1"
"s677","2"
"s677","3"
"s677","4"
"s678","1"
"s678","2"
"s678","3"
"s678","4"
"s678","5"
"s678","6"
"s679","1"
"s680","1"
"s681","1"
"s682","1"
"s683","1"
"s684","1"
"s685","1"
"s685","2"
"s685","3"
"s685","4"
"s686","1"
"s687","1"
"s687","2"
"s688","1"
"s689","1"
"s690","1"
"s691","1"
"s692","1"
"s693","1"
"s694","1"
"s695","1"
"s696","1"
"s697","1"
"s697","2"
"s698","1"
"s699","1"
"s700","1"
"s701","1"
"s702","1"
"s703","1"
"s704","1"
"s704","2"
"s704","3"
"s705","1"
"s706","1"
"s707","1"
"s708","1"
"s709","1"
"s710","1"
"s710","2"
"s710","3"
"s711","1"
"s712","1"
"s713","1"
"s714","1"
"s715","1"
"s716","1"
"s717","1"
"s718","1"
"s719","1"
"s720","1"
"s721","1"
"s721","2"
"s722","1"
"s723","1"
"s724","1"
"s725","1"
"s726","1"
"s727","1"
"s728","1"
"s729","1"
"s730","1"
"s731","1"
"s732","1"
"s732","2"
"s733","1"
"s734","1"
"s734","2"
"s735","1"
"s735","2"
"s736","1"
"s737","1"
"s738","1"
"s739","1"
"s740","1"
"s741","1"
"s742","1"
"s743","1"
"s744","1"
"s745","1"
"s746","1"
"s747","1"
"s748","1"
"s749","1"
"s750","1"
"s750","2"
"s751","1"
"s752","1"
"s752","2"
"s753","1"
"s754","1"
"s755","1"
"s756","1"
"s757","1"
"s758","1"
"s759","1"
"s759","2"
"s760","1"
"s761","1"
"s762","1"
"s763","1"
"s764","1"
"s765","1"
"s766","1"
"s767","1"
"s768","1"
"s769","1"
"s770","1"
"s771","1"
"s772","1"
"s773","1"
"s773","2"
"s774","1"
"s775","1"
"s776","1"
"s777","1"
"s778","1"
"s779","1"
"s780","1"
"s781","1"
"s781","2"
"s782","1"
"s783","1"
"s784","1"
"s785","1"
"s786","1"
"s786","2"
"s786","3"
"s787","1"
"s788","1"
"s789","1"
"s790","1"
"s790","2"
"s790","3"
"s790","4"
"s790","5"
"s790","6"
"s791","1"
"s792","1"
"s793","1"
"s794","1"
"s795","1"
"s796","1"
"s796","2"
"s796","3"
"s797","1"
"s798","1"
"s799","1"
"s800","1"
"s801","1"
"s802","1"
"s803","1"
"s804","1"
"s805","1"
"s806","1"
"s807","1"
"s808","1"
"s809","1"
"s810","1"
"s811","1"
"s812","1"
"s813","1"
"s814","1"
"s815","1"
"s816","1"
"s817","1"
"s818","1"
"s819","1"
"s820","1"
"s821","1"
"s821","2"
"s821","3"
"s822","1"
"s823","1"
"s824","1"
"s825","1"
"s826","1"
"s826","2"
"s827","1"
"s828","1"
"s829","1"
"s830","1"
"s831","1"
"s831","2"
"s831","3"
"s832","1"
"s832","2"
"s833","1"
"s834","1"
"s835","1"
"s836","1"
"s837","1"
"s838","1"
"s838","2"
"s839","1"
"s840","1"
"s841","1"
"s842","1"
"s843","1"
"s844","1"
"s844","2"
"s844","3"
"s845","1"
"s846","1"
"s847","1"
"s848","1"
"s849","1"
"s849","2"
"s849","3"
"s850","1"
"s851","1"
"s852","1"
"s853","1"
"s854","1"
"s855","1"
"s856","1"
"s856","2"
"s856","3"
"s857","1"
"s858","1"
"s858","2"
"s859","1"
"s860","1"
"s861","1"
"s862","1"
"s863","1"
"s863","2"
"s864","1"
"s865","1"
